UID        PID  PPID  C STIME TTY          TIME CMD
root       255     2  0 Oct27 ?        00:00:00 [e1000e]
root       258     2  0 Oct27 ?        00:00:00 [kworker/5:1H]
root       259     2  0 Oct27 ?        00:00:32 [i915/signal:0]
root       260     2  0 Oct27 ?        00:00:00 [i915/signal:1]
root       261     2  0 Oct27 ?        00:00:00 [i915/signal:2]
root       262     2  0 Oct27 ?        00:00:00 [i915/signal:4]
root       266     2  0 Oct27 ?        00:00:00 [ttm_swap]
root       288     2  0 Oct27 ?        00:00:00 [kworker/11:1H]
root       289     2  0 Oct27 ?        00:00:22 [kworker/6:1H]
root       291     2  0 Oct27 ?        00:00:20 [jbd2/sda2-8]
root       292     2  0 Oct27 ?        00:00:00 [ext4-rsv-conver]
root       320     2  0 Oct27 ?        00:00:00 [kworker/7:1H]
root       325     2  0 Oct27 ?        00:00:00 [kworker/8:1H]
root       334     1  0 Oct27 ?        00:00:11 /lib/systemd/systemd-journald
root       342     2  0 Oct27 ?        00:00:00 [kworker/4:1H]
root       376     1  0 Oct27 ?        00:00:03 /lib/systemd/systemd-udevd
root       415     2  0 Oct27 ?        00:00:00 [kworker/0:1H]
root       419     2  0 Oct27 ?        00:00:00 [kworker/3:1H]
root       489     2  0 Oct27 ?        00:00:00 [irq/127-mei_me]
root       551     2  0 Oct27 ?        00:00:00 [kworker/10:1H]
root       631     2  0 Oct27 ?        00:00:00 [kworker/9:1H]
root       682     2  0 Oct27 ?        00:00:00 [kworker/1:1H]
systemd+   887     1  0 Oct27 ?        00:00:00 /lib/systemd/systemd-timesyncd
anonymized    984 12507  0 Oct29 pts/8    00:00:00 bash
syslog    1033     1  0 Oct27 ?        00:00:00 /usr/sbin/rsyslogd -n
root      1062     1  0 Oct27 ?        00:00:06 /usr/sbin/acpid
root      1081     1  0 Oct27 ?        00:00:00 /lib/systemd/systemd-logind
message+  1085     1  0 Oct27 ?        00:00:05 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root      1213     1  0 Oct27 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root      1214     1  0 Oct27 ?        00:00:05 /usr/lib/accountsservice/accounts-daemon
root      1218     1  0 Oct27 ?        00:00:31 /usr/sbin/thermald --no-daemon --dbus-enable
avahi     1221     1  0 Oct27 ?        00:26:08 avahi-daemon: running [Cur.local]
root      1249     1  0 Oct27 ?        00:00:00 /usr/sbin/cron -f
root      1365     1  0 Oct27 ?        00:00:00 /usr/sbin/lightdm
avahi     1370  1221  0 Oct27 ?        00:00:00 avahi-daemon: chroot helper
root      1407     1  0 Oct27 ?        00:00:39 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
neo4j     1424     1  0 Oct29 ?        00:19:18 /usr/bin/java -cp /var/lib/neo4j/plugins:/etc/neo4j:/usr/share/neo4j/lib/*:/var/lib/neo4j/plugins/* -server -XX:+UseG1GC -XX:-OmitStackTraceInFastThrow -XX:+AlwaysPreTouch -XX:+UnlockExperimentalVMOptions -XX:+TrustFinalNonStaticFields -XX:+DisableExplicitGC -Djdk.tls.ephemeralDHKeySize=2048 -Djdk.tls.rejectClientInitiatedRenegotiation=true -Dunsupported.dbms.udc.source=debian -Dfile.encoding=UTF-8 org.neo4j.server.CommunityEntryPoint --home-dir=/var/lib/neo4j --config-dir=/etc/neo4j
root      1551     1  0 Oct27 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root      1569     1  0 Oct27 ?        00:00:01 /usr/lib/policykit-1/polkitd --no-debug
colord    1573     1  0 Oct27 ?        00:00:00 /usr/lib/colord/colord
root      1605     1  0 Oct27 ?        00:01:24 /usr/bin/containerd
root      1630     2  0 Oct27 ?        00:00:00 [kworker/2:1H]
root      1689     1  0 Oct27 ?        00:00:00 /usr/sbin/sshd -D
root      1764     2  0 13:58 ?        00:00:00 [kworker/1:0]
postgres  1798     1  0 Oct27 ?        00:00:05 /usr/lib/postgresql/13/bin/postgres -D /var/lib/postgresql/13/main -c config_file=/etc/postgresql/13/main/postgresql.conf
root      1822  1213  0 Oct27 ?        00:00:01 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-eno1.pid -lf /var/lib/NetworkManager/dhclient-a276dd1e-94cf-3868-ac36-2ff17a8d32af-eno1.lease -cf /var/lib/NetworkManager/dhclient-eno1.conf eno1
nobody    1836  1213  0 Oct27 ?        00:00:03 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
postgres  2003  1798  0 Oct27 ?        00:00:00 postgres: 13/main: checkpointer 
postgres  2004  1798  0 Oct27 ?        00:00:04 postgres: 13/main: background writer 
postgres  2005  1798  0 Oct27 ?        00:00:04 postgres: 13/main: walwriter 
postgres  2006  1798  0 Oct27 ?        00:00:03 postgres: 13/main: autovacuum launcher 
postgres  2008  1798  0 Oct27 ?        00:00:04 postgres: 13/main: stats collector 
postgres  2010  1798  0 Oct27 ?        00:00:00 postgres: 13/main: logical replication launcher 
whoopsie  2129     1  0 Oct27 ?        00:00:00 /usr/bin/whoopsie -f
root      2134     1  0 Oct27 ?        00:02:13 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root      2164     1  0 Oct27 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
openldap  2294     1  0 Oct27 ?        00:00:00 /usr/sbin/slapd -h ldap:/// ldapi:/// -g openldap -u openldap -F /etc/ldap/slapd.d
rtkit     2322     1  0 Oct27 ?        00:00:03 /usr/lib/rtkit/rtkit-daemon
root      2323     1  0 Oct27 ?        00:00:00 /usr/lib/upower/upowerd
root      2408     2  0 Oct30 ?        00:00:02 [kworker/8:1]
anonymized   2721     1  0 Oct27 ?        00:00:00 /lib/systemd/systemd --user
anonymized   2722  2721  0 Oct27 ?        00:00:00 (sd-pam)
anonymized   3112     1  1 Oct27 ?        01:50:52 /usr/bin/pulseaudio --start --log-target=syslog
root      3326     1  0 Oct27 ?        00:00:22 /usr/lib/udisks2/udisksd --no-debug
root      3360     1  0 Oct27 ?        00:00:03 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
root      4303  9368  0 16:47 ?        00:00:00 /usr/bin/vmware-usbarbitrator
anonymized   4436  9368  0 Oct28 ?        00:00:00 /usr/lib/gvfs/gvfsd-network --spawner :1.8 /org/gtk/gvfs/exec_spaw/2
anonymized   4472  9368  0 Oct28 ?        00:00:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.8 /org/gtk/gvfs/exec_spaw/5
anonymized   4499  9368  0 Oct28 ?        00:13:35 /usr/share/code/code --no-sandbox ../src/
anonymized   4501  4499  0 Oct28 ?        00:00:00 /usr/share/code/code --type=zygote --no-zygote-sandbox --no-sandbox
anonymized   4502  4499  0 Oct28 ?        00:00:00 /usr/share/code/code --type=zygote --no-sandbox
anonymized   4524  4501  0 Oct28 ?        00:48:49 /usr/share/code/code --type=gpu-process --field-trial-handle=12160288744938646903,1100927733753272460,131072 --enable-features=WebComponentsV0Enabled --disable-features=SpareRendererForSitePerProcess --disable-color-correct-rendering --no-sandbox --enable-crash-reporter=bfde6216-54b1-47fa-a972-c75b1fc3c307,no_channel --global-crash-keys=bfde6216-54b1-47fa-a972-c75b1fc3c307,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.49.2 --gpu-preferences=MAAAAAAAAAAgAAAAAAAAAAAAAAAAAAAAAABgAAAAAAAQAAAAAAAAAAAAAAAAAAAACAAAAAAAAAA= --shared-files
anonymized   4540  4499  0 Oct28 ?        00:00:06 /usr/share/code/code --type=utility --field-trial-handle=12160288744938646903,1100927733753272460,131072 --enable-features=WebComponentsV0Enabled --disable-features=SpareRendererForSitePerProcess --lang=en-US --service-sandbox-type=network --no-sandbox --enable-crash-reporter=bfde6216-54b1-47fa-a972-c75b1fc3c307,no_channel --global-crash-keys=bfde6216-54b1-47fa-a972-c75b1fc3c307,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.49.2 --standard-schemes=vscode-webview,vscode-webview-resource --secure-schemes=vscode-webview,vscode-webview-resource --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-webview-resource --fetch-schemes=vscode-webview,vscode-webview-resource --service-worker-schemes --shared-files=v8_snapshot_data:100
